# Lagrange radii [code units]
#1:t 2:r(0.0001) 3:r(0.0003) 4:r(0.0005) 5:r(0.0007) 6:r(0.0009) 7:r(0.001) 8:r(0.003) 9:r(0.005) 10:r(0.007) 11:r(0.009) 12:r(0.01) 13:r(0.03) 14:r(0.05) 15:r(0.07) 16:r(0.09) 17:r(0.1) 18:r(0.2) 19:r(0.3) 20:r(0.4) 21:r(0.5) 22:r(0.6) 23:r(0.7) 24:r(0.8) 25:r(0.9) 26:r(0.99)
1.913842553e-01 2.555804e-02 2.577231e-02 4.063115e-02 4.595773e-02 4.838309e-02 4.923823e-02 6.649594e-02 8.378770e-02 9.648555e-02 1.062151e-01 1.089288e-01 1.623332e-01 2.020554e-01 2.310495e-01 2.545325e-01 2.667349e-01 3.869032e-01 4.936498e-01 6.168922e-01 7.580899e-01 9.383447e-01 1.188971e+00 1.597285e+00 2.514440e+00 8.732021e+00 
1.999045701e-01 2.504429e-02 3.574347e-02 3.716444e-02 4.234328e-02 4.534253e-02 4.542943e-02 6.876772e-02 8.610021e-02 9.794285e-02 1.072339e-01 1.093335e-01 1.654132e-01 2.017970e-01 2.295754e-01 2.583532e-01 2.701426e-01 3.807440e-01 4.929996e-01 6.161460e-01 7.655851e-01 9.489802e-01 1.209167e+00 1.617712e+00 2.526068e+00 8.593129e+00 
2.085321469e-01 2.285901e-02 2.865359e-02 3.007453e-02 3.639588e-02 4.358142e-02 4.361221e-02 6.225950e-02 7.684816e-02 8.664693e-02 9.606594e-02 1.007113e-01 1.601541e-01 1.958127e-01 2.244128e-01 2.507407e-01 2.636112e-01 3.752344e-01 4.902795e-01 6.214881e-01 7.690276e-01 9.557012e-01 1.221226e+00 1.631449e+00 2.573623e+00 8.692170e+00 
2.135722956e-01 2.029079e-02 4.233384e-02 4.952080e-02 5.187784e-02 5.316147e-02 5.460210e-02 7.479132e-02 9.063630e-02 1.013397e-01 1.116058e-01 1.151989e-01 1.605779e-01 1.989463e-01 2.299875e-01 2.554870e-01 2.677618e-01 3.845573e-01 4.965749e-01 6.209537e-01 7.719811e-01 9.603019e-01 1.220425e+00 1.644157e+00 2.538014e+00 8.574252e+00 
2.206663103e-01 2.400860e-02 4.450294e-02 5.717196e-02 5.886675e-02 6.037764e-02 6.137612e-02 7.360324e-02 8.801355e-02 9.593294e-02 1.056084e-01 1.094531e-01 1.614464e-01 1.977570e-01 2.280393e-01 2.567187e-01 2.688766e-01 3.819803e-01 4.917065e-01 6.130037e-01 7.641791e-01 9.644276e-01 1.223519e+00 1.675251e+00 2.612154e+00 8.713136e+00 
2.266152673e-01 1.343040e-02 3.992599e-02 4.651036e-02 4.723274e-02 5.473315e-02 5.544813e-02 7.676489e-02 8.781167e-02 9.604335e-02 1.066756e-01 1.098697e-01 1.621543e-01 1.988404e-01 2.254101e-01 2.506727e-01 2.623366e-01 3.761449e-01 4.866646e-01 6.037741e-01 7.573562e-01 9.525385e-01 1.223160e+00 1.676276e+00 2.605362e+00 8.670954e+00 
2.329163916e-01 8.753872e-03 2.911798e-02 4.688385e-02 4.979783e-02 5.710779e-02 5.871473e-02 7.282367e-02 8.427579e-02 9.181611e-02 9.863602e-02 1.023065e-01 1.561932e-01 1.921947e-01 2.243833e-01 2.527672e-01 2.649099e-01 3.744392e-01 4.883753e-01 6.083275e-01 7.626841e-01 9.589659e-01 1.238004e+00 1.676350e+00 2.598826e+00 8.697578e+00 
2.384908692e-01 1.468549e-02 3.142397e-02 3.434478e-02 4.552584e-02 4.778666e-02 4.792850e-02 5.930598e-02 8.208241e-02 9.323790e-02 1.025728e-01 1.060009e-01 1.582469e-01 1.918309e-01 2.215359e-01 2.460758e-01 2.593427e-01 3.731693e-01 4.860541e-01 6.097406e-01 7.581106e-01 9.495173e-01 1.221116e+00 1.660115e+00 2.573543e+00 8.855593e+00 
2.450712688e-01 1.900613e-02 2.809582e-02 3.402750e-02 4.532108e-02 4.976003e-02 4.978552e-02 6.546806e-02 8.025246e-02 9.337737e-02 1.050953e-01 1.091180e-01 1.573946e-01 1.936850e-01 2.243874e-01 2.507031e-01 2.608811e-01 3.736431e-01 4.826700e-01 6.067452e-01 7.579569e-01 9.683002e-01 1.250394e+00 1.665819e+00 2.644850e+00 9.264792e+00 
2.514672149e-01 1.139967e-02 2.097654e-02 2.781006e-02 3.849939e-02 4.137351e-02 4.465284e-02 6.822894e-02 8.421944e-02 9.344357e-02 1.013366e-01 1.039774e-01 1.568512e-01 1.915861e-01 2.223091e-01 2.471489e-01 2.575260e-01 3.687948e-01 4.839095e-01 6.089134e-01 7.688229e-01 9.712474e-01 1.240869e+00 1.686082e+00 2.626864e+00 8.662711e+00 
