# Lagrange radii [code units]
#1:t 2:r(0.0001) 3:r(0.0003) 4:r(0.0005) 5:r(0.0007) 6:r(0.0009) 7:r(0.001) 8:r(0.003) 9:r(0.005) 10:r(0.007) 11:r(0.009) 12:r(0.01) 13:r(0.03) 14:r(0.05) 15:r(0.07) 16:r(0.09) 17:r(0.1) 18:r(0.2) 19:r(0.3) 20:r(0.4) 21:r(0.5) 22:r(0.6) 23:r(0.7) 24:r(0.8) 25:r(0.9) 26:r(0.99)
5.838404640e-04 4.447079e-02 5.187519e-02 5.814760e-02 7.118227e-02 7.607132e-02 7.686734e-02 1.069665e-01 1.268512e-01 1.396051e-01 1.530315e-01 1.580124e-01 2.265085e-01 2.650849e-01 3.001698e-01 3.362882e-01 3.518100e-01 4.918778e-01 6.242866e-01 7.575297e-01 9.026762e-01 1.081935e+00 1.314679e+00 1.615394e+00 2.116342e+00 3.270751e+00 
6.698873787e-04 4.293065e-02 5.142626e-02 6.411043e-02 7.023804e-02 7.651868e-02 7.821150e-02 1.183858e-01 1.367812e-01 1.504300e-01 1.590632e-01 1.637447e-01 2.279956e-01 2.798888e-01 3.225832e-01 3.525590e-01 3.670619e-01 5.007721e-01 6.265136e-01 7.665950e-01 9.221307e-01 1.098050e+00 1.329475e+00 1.645297e+00 2.105518e+00 3.402308e+00 
7.289991282e-04 4.934536e-02 6.709650e-02 7.509031e-02 8.028151e-02 8.650642e-02 8.980551e-02 1.205234e-01 1.407051e-01 1.540311e-01 1.643808e-01 1.668701e-01 2.393502e-01 2.838848e-01 3.230529e-01 3.561035e-01 3.702011e-01 5.149705e-01 6.509398e-01 7.892603e-01 9.431115e-01 1.126773e+00 1.359781e+00 1.673076e+00 2.148829e+00 3.410402e+00 
8.389793265e-04 4.655623e-02 6.513133e-02 7.942820e-02 8.985078e-02 9.279026e-02 9.749405e-02 1.274262e-01 1.452410e-01 1.626704e-01 1.724894e-01 1.768854e-01 2.476241e-01 2.966003e-01 3.374091e-01 3.714560e-01 3.883697e-01 5.308092e-01 6.646846e-01 8.011338e-01 9.580519e-01 1.142274e+00 1.372771e+00 1.692503e+00 2.183663e+00 3.463180e+00 
8.945400354e-04 4.167373e-02 5.955791e-02 6.206479e-02 7.857007e-02 8.825699e-02 9.314940e-02 1.320578e-01 1.481768e-01 1.619883e-01 1.750406e-01 1.799608e-01 2.544065e-01 3.015461e-01 3.413393e-01 3.768883e-01 3.950912e-01 5.315200e-01 6.675937e-01 8.053241e-01 9.681193e-01 1.159005e+00 1.388271e+00 1.702390e+00 2.207523e+00 3.466633e+00 
1.006267006e-03 4.554871e-02 5.936617e-02 7.501253e-02 8.337272e-02 8.980167e-02 9.132753e-02 1.328034e-01 1.538437e-01 1.673136e-01 1.823741e-01 1.879262e-01 2.623181e-01 3.077243e-01 3.483660e-01 3.834408e-01 4.004777e-01 5.514136e-01 6.830531e-01 8.263794e-01 9.793312e-01 1.159449e+00 1.395779e+00 1.722107e+00 2.245578e+00 3.495438e+00 
1.103276631e-03 5.568255e-02 7.066923e-02 7.766154e-02 8.404021e-02 8.938674e-02 8.945535e-02 1.341085e-01 1.605767e-01 1.762974e-01 1.891742e-01 1.940136e-01 2.691170e-01 3.184733e-01 3.615225e-01 3.958893e-01 4.125413e-01 5.582815e-01 6.917794e-01 8.341111e-01 9.949625e-01 1.184000e+00 1.420086e+00 1.734665e+00 2.237186e+00 3.544199e+00 
1.161899061e-03 6.302048e-02 6.781717e-02 7.438943e-02 8.473769e-02 8.819749e-02 8.823950e-02 1.374620e-01 1.591720e-01 1.692864e-01 1.846640e-01 1.924705e-01 2.729414e-01 3.263633e-01 3.647621e-01 4.051521e-01 4.213802e-01 5.672520e-01 7.010935e-01 8.452659e-01 1.004359e+00 1.203333e+00 1.443497e+00 1.765979e+00 2.282535e+00 3.570557e+00 
1.262251375e-03 6.019766e-02 7.316824e-02 8.787498e-02 9.711927e-02 1.020784e-01 1.054106e-01 1.467444e-01 1.664520e-01 1.844894e-01 1.991028e-01 2.018003e-01 2.842586e-01 3.346607e-01 3.714402e-01 4.098892e-01 4.269122e-01 5.774287e-01 7.147968e-01 8.573589e-01 1.020895e+00 1.210683e+00 1.454250e+00 1.787242e+00 2.286416e+00 3.596480e+00 
1.407381614e-03 5.919340e-02 8.146240e-02 9.117759e-02 9.644286e-02 1.017066e-01 1.087491e-01 1.387405e-01 1.667236e-01 1.806892e-01 1.946301e-01 2.011042e-01 2.814943e-01 3.276972e-01 3.702596e-01 4.088805e-01 4.256007e-01 5.806129e-01 7.225910e-01 8.677607e-01 1.026539e+00 1.222727e+00 1.465803e+00 1.799820e+00 2.319028e+00 3.639277e+00 
