# Dynamical information [code units]
#1:t #2:Dt #3:tcount #4:N #5:M #6:VR #7:N_c #8:r_c #9:r_max #10:Etot #11:KE #12:PE #13:Etot_int #14:Etot_bin #15:E_cenma #16:Eesc #17:Ebesc #18:Eintesc #19:Eoops #20:Etot+Eoops #21:r_h #22:rho_0 #23:rc_spitzer #24:v0_rms #25:rc_nb #26.DMse(MSUN) #27.DMrejuv(MSUN) #28.N_c_nb
0.0035484995 6.8230957e-07 1636 99615 0.99467782 1.0008679 9969.2943 0.24868701 2002.5721 -0.6485029 0.24913856 -0.49784503 0 -0.40201736 0 0.002740656 -0.00051972191 0 0 -0.6485029 0.82972161 32.662846 0.082878928 0.96942774 0.13005621 0 0 1425.9306
0.003549551 1.051412e-06 1637 99615 0.9946775 1.0028623 11421.513 0.23278316 1229.3557 -0.6484114 0.25004264 -0.49865797 0 -0.40201701 0 0.002740656 -0.00051972191 0 0 -0.6484114 0.82301922 59.4251 0.061354725 0.96800429 0.097893543 0 0 849.43688
0.0035503484 7.9749862e-07 1638 99615 0.99467726 1.0072665 10664.195 0.23352236 1428.2182 -0.64850248 0.25234759 -0.50105425 0 -0.40201675 0 0.002740656 -0.00051972191 0 0 -0.64850248 0.83018328 44.765662 0.07243273 0.99186294 0.10628852 0 0 1005.5456
0.0035525648 2.2163305e-06 1639 99614 0.99466187 1.0049771 8530.9426 0.23759381 2579.7892 -0.64844517 0.25114276 -0.49979801 0 -0.40201601 0 0.0027458134 -0.00051972191 0 0 -0.64844517 0.82769762 33.591147 0.08392558 0.99552249 0.11433992 0 0 950.7916
0.0035533997 8.3495752e-07 1640 99614 0.99466161 0.99818699 9926.0721 0.22944655 2652.0617 -0.64840336 0.24771387 -0.49632758 0 -0.40201574 0 0.0027458134 -0.00051972191 0 0 -0.64840336 0.82937054 45.684864 0.072478266 1.0026244 0.09350507 0 0 671.79742
0.0035541152 7.1545956e-07 1641 99614 0.99466139 1.0060057 8439.6083 0.24205059 2607.0065 -0.64839771 0.25161249 -0.50022079 0 -0.4020155 0 0.0027458134 -0.00051972191 0 0 -0.64839771 0.82809441 31.372458 0.084823541 0.97237766 0.12707126 0 0 1221.0851
0.0035545654 4.5021635e-07 1642 99614 0.99466126 1.0060244 7468.7883 0.24180219 2707.0602 -0.64849726 0.25172277 -0.50043076 0 -0.40201535 0 0.0027458134 -0.00051972191 0 0 -0.64849726 0.82919073 27.550104 0.091127345 0.97893678 0.12551753 0 0 1044.6784
0.0035557407 1.175255e-06 1643 99614 0.9946609 1.0057941 10676.36 0.23318196 2680.939 -0.64853049 0.25164091 -0.50038254 0 -0.40201496 0 0.0027458134 -0.00051972191 0 0 -0.64853049 0.83243863 46.016016 0.071666322 0.99497903 0.095381087 0 0 730.67646
0.0035579699 2.2292652e-06 1644 99614 0.99466021 1.0044319 8659.7252 0.23945183 796.69279 -0.64854663 0.25097327 -0.49973178 0 -0.40201422 0 0.0027458134 -0.00051972191 0 0 -0.64854663 0.82661175 31.857938 0.085437472 0.98696447 0.11338684 0 0 919.47009
0.0035590925 1.1225656e-06 1645 99614 0.99465987 1.0077003 13255.339 0.2296997 2386.4532 -0.64846739 0.25253918 -0.50121882 0 -0.40201384 0 0.0027458134 -0.00051972191 0 0 -0.64846739 0.82567454 56.01779 0.065608318 1.0050003 0.094321584 0 0 917.78885
0.0035596458 5.5329019e-07 1646 99614 0.9946597 1.007877 8937.7712 0.23522147 2737.1468 -0.64845261 0.25261361 -0.50127866 0 -0.40201366 0 0.0027458134 -0.00051972191 0 0 -0.64845261 0.8315514 37.046594 0.080579157 1.0037861 0.1146185 0 0 1034.0998
0.0035611224 1.4766451e-06 1647 99614 0.99465925 1.0015166 8775.1822 0.22625484 1853.9062 -0.64839507 0.24936324 -0.49797123 0 -0.40201316 0 0.0027458134 -0.00051972191 0 0 -0.64839507 0.83362742 46.598697 0.070261083 0.98162596 0.10269706 0 0 820.60957
0.003562157 1.0345816e-06 1648 99613 0.9946574 1.0033011 10933.013 0.23743887 2007.6726 -0.64839929 0.2502594 -0.49887197 0 -0.40201282 0 0.0027458193 -0.00051972191 0 0 -0.64839929 0.82858913 41.201603 0.074854346 0.98337323 0.12148807 0 0 1464.4865
0.0035635093 1.3523265e-06 1649 99613 0.99465698 1.0025808 7592.9304 0.24347616 2380.6667 -0.64843368 0.24993417 -0.49858157 0 -0.40201237 0 0.0027458193 -0.00051972191 0 0 -0.64843368 0.82654063 24.107403 0.097863396 0.98342173 0.1303774 0 0 1165.8618
0.0035643795 8.7011582e-07 1650 99613 0.99465672 0.99872137 9122.7143 0.24105739 2678.0307 -0.64845237 0.2480313 -0.49669769 0 -0.40201208 0 0.0027458193 -0.00051972191 0 0 -0.64845237 0.82951166 35.075021 0.080018102 0.96991018 0.11495821 0 0 989.42449
0.00356515 7.7058596e-07 1651 99613 0.99465648 0.99554414 8820.9189 0.24191161 2708.4587 -0.64840388 0.24641237 -0.49503053 0 -0.40201182 0 0.0027458193 -0.00051972191 0 0 -0.64840388 0.83133553 37.975478 0.078829227 0.99422161 0.10407721 0 0 702.4423
0.0035660366 8.8654208e-07 1652 99613 0.9946562 0.99803268 8467.349 0.24902216 2725.4207 -0.64837544 0.24761383 -0.49620384 0 -0.40201152 0 0.0027458193 -0.00051972191 0 0 -0.64837544 0.82604899 25.627709 0.093268065 0.96634491 0.13635556 0 0 1390.1192
0.0035665412 5.0456791e-07 1653 99613 0.99465605 1.0090736 15180.817 0.24365363 2085.7168 -0.64847822 0.2532474 -0.50194036 0 -0.40201135 0 0.0027458193 -0.00051972191 0 0 -0.64847822 0.82536414 61.438676 0.060760244 0.97473091 0.094616035 0 0 888.93644
